hu-seasonal	source	assay_component	strainname	host	us_lineage	date	accession	subtype	country	global_sw_clade	new_global_lineage
fludb|CY122333|A/swine/Mexico/Mex19/2010|H1N1|Mexico|Swine|1A.3.2|2010	fludb	na	A/swine/Mexico/Mex19/2010	swine	na	2010--	CY122333	H1N1	Mexico	1A.3.2	1A.3.2
fludb|CY122357|A/swine/Mexico/Mex52/2010|H1N1|Mexico|Swine|1A.3.2|2010	fludb	na	A/swine/Mexico/Mex52/2010	swine	na	2010--	CY122357	H1N1	Mexico	1A.3.2	1A.3.2
fludb|CY122381|A/swine/Mexico/Qro35/2010|H1N1|Mexico|Swine|1A.3.2|2010	fludb	na	A/swine/Mexico/Qro35/2010	swine	na	2010--	CY122381	H1N1	Mexico	1A.3.2	1A.3.2
fludb|MF425623|A/swine/Michigan/A01259077/2017|H1N2|USA|Swine|1A.3.3.3|05/30/2017	fludb	na	A/swine/Michigan/A01259077/2017	swine	na	30/05/2017	MF425623	H1N2	USA	1A.3.3.3	1A.3.3.3
fludb|KR087971|A/swine/Minnesota/00272/2004|H1N1|USA|Swine|1A.2|03/31/2004	fludb	na	A/swine/Minnesota/00272/2004	swine	na	31/03/2004	KR087971	H1N1	USA	1A.2	1A.2
fludb|KR859440|A/swine/Minnesota/00295/2004|H1N1|USA|Swine|1A.3.3|2004	fludb	na	A/swine/Minnesota/00295/2004	swine	na	2004--	KR859440	H1N1	USA	1A.3.3	1A.3.3
fludb|CY159225|A/swine/Minnesota/00352/2004|H1N1|USA|Swine|1A.2|07/23/2004	fludb	na	A/swine/Minnesota/00352/2004	swine	na	23/07/2004	CY159225	H1N1	USA	1A.2	1A.2
fludb|CY099239|A/swine/Minnesota/02475/2008|H1N1|USA|Swine|1A.2|12/08/2008	fludb	na	A/swine/Minnesota/02475/2008	swine	na	08/12/2008	CY099239	H1N1	USA	1A.2	1A.2
fludb|CY099135|A/swine/Minnesota/02905/2009|H1N1|USA|Swine|1A.3.3.3|10/21/2009	fludb	na	A/swine/Minnesota/02905/2009	swine	na	21/10/2009	CY099135	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|JX397994|A/swine/Minnesota/12/2012|H1N2|USA|Swine|1B.2.2.2|06/28/2012	fludb	na	A/swine/Minnesota/12/2012	swine	na	28/06/2012	JX397994	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KP938855|A/swine/Minnesota/2499/2012|H1N1|USA|Swine|1A.3.3.2|2012	fludb	na	A/swine/Minnesota/2499/2012	swine	na	2012--	KP938855	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|JX983102|A/swine/Minnesota/27/2012|H1N1|USA|Swine|1A.3.3.3|10/04/2012	fludb	na	A/swine/Minnesota/27/2012	swine	na	04/10/2012	JX983102	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|JX983105|A/swine/Minnesota/28/2012|H1N1|USA|Swine|1A.3.3.3|10/04/2012	fludb	na	A/swine/Minnesota/28/2012	swine	na	04/10/2012	JX983105	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|HQ424891|A/swine/Minnesota/44837_3/2009|H1N2|USA|Swine|1B.2.1|11/23/2009	fludb	na	A/swine/Minnesota/44837_3/2009	swine	na	23/11/2009	HQ424891	H1N2	USA	1B.2.1	1B.2.1
fludb|CY098492|A/swine/Minnesota/5763/2003|H1N2|USA|Swine|1A.3.3.3|2003	fludb	na	A/swine/Minnesota/5763/2003	swine	na	2003--	CY098492	H1N2	USA	1A.3.3.3	1A.3.3.3
fludb|JQ906866|A/swine/Minnesota/A01047913/2010|H1N2|USA|Swine|1B.2.2.1|12/02/2010	fludb	na	A/swine/Minnesota/A01047913/2010	swine	na	02/12/2010	JQ906866	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|JQ809726|A/swine/Minnesota/A01047970/2011|H1N1|USA|Swine|1A.2|01/06/2011	fludb	na	A/swine/Minnesota/A01047970/2011	swine	na	06/01/2011	JQ809726	H1N1	USA	1A.2	1A.2
fludb|JN162061|A/swine/Minnesota/A01049462/2011|H1N1|USA|Swine|1A.2|01/26/2011	fludb	na	A/swine/Minnesota/A01049462/2011	swine	na	26/01/2011	JN162061	H1N1	USA	1A.2	1A.2
fludb|KC167141|A/swine/Minnesota/A01267765/2012|H1N1|USA|Swine|1A.3.3.3|10/12/2012	fludb	na	A/swine/Minnesota/A01267765/2012	swine	na	12/10/2012	KC167141	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KC167153|A/swine/Minnesota/A01267908/2012|H1N1|USA|Swine|1A.3.3.3|10/23/2012	fludb	na	A/swine/Minnesota/A01267908/2012	swine	na	23/10/2012	KC167153	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KC405497|A/swine/Minnesota/A01279807/2012|H1N2|USA|Swine|1B.2.2.2|12/10/2012	fludb	na	A/swine/Minnesota/A01279807/2012	swine	na	10/12/2012	KC405497	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KF922816|A/swine/Minnesota/A01290738/2013|H1N1|USA|Swine|1A.3.3.3|11/2013	fludb	na	A/swine/Minnesota/A01290738/2013	swine	na	2013-11-	KF922816	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|JX422581|A/swine/Minnesota/A01328420/2012|H1N1|USA|Swine|1A.3.3.2|05/14/2012	fludb	na	A/swine/Minnesota/A01328420/2012	swine	na	14/05/2012	JX422581	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|JX422419|A/swine/Minnesota/A01328944/2012|H1N2|USA|Swine|1B.2.2.2|06/06/2012	fludb	na	A/swine/Minnesota/A01328944/2012	swine	na	06/06/2012	JX422419	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KF234490|A/swine/Minnesota/A01350829/2013|H1N1|USA|Swine|1A.3.3.3|05/30/2013	fludb	na	A/swine/Minnesota/A01350829/2013	swine	na	30/05/2013	KF234490	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KF313145|A/swine/Minnesota/A01351166/2013|H1N2|USA|Swine|1B.2.2.2|06/17/2013	fludb	na	A/swine/Minnesota/A01351166/2013	swine	na	17/06/2013	KF313145	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KF918419|A/swine/Minnesota/A01365853/2013|H1N2|USA|Swine|1B.2.2.2|11/12/2013	fludb	na	A/swine/Minnesota/A01365853/2013	swine	na	12/11/2013	KF918419	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KF982065|A/swine/Minnesota/A01366107/2013|H1N1|USA|Swine|1A.3.3.3|12/03/2013	fludb	na	A/swine/Minnesota/A01366107/2013	swine	na	03/12/2013	KF982065	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KJ130231|A/swine/Minnesota/A01366391/2013|H1N2|USA|Swine|1B.2.2.2|12/18/2013	fludb	na	A/swine/Minnesota/A01366391/2013	swine	na	18/12/2013	KJ130231	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KC562203|A/swine/Minnesota/A01444719/2013|H1N2|USA|Swine|1B.2.2.1|01/14/2013	fludb	na	A/swine/Minnesota/A01444719/2013	swine	na	14/01/2013	KC562203	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KC790353|A/swine/Minnesota/A01445762/2013|H1N2|USA|Swine|1B.2.2.2|02/21/2013	fludb	na	A/swine/Minnesota/A01445762/2013	swine	na	21/02/2013	KC790353	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KR183794|A/swine/Minnesota/A01470721/2015|H1N1|USA|Swine|1A.3.3.3|04/08/2015	fludb	na	A/swine/Minnesota/A01470721/2015	swine	na	08/04/2015	KR183794	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KR863125|A/swine/Minnesota/A01471308/2015|H1N1|USA|Swine|1A.3.3.3|05/14/2015	fludb	na	A/swine/Minnesota/A01471308/2015	swine	na	14/05/2015	KR863125	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KP081625|A/swine/Minnesota/A01566017/2014|H1N1|USA|Swine|1A.3.3.2|10/06/2014	fludb	na	A/swine/Minnesota/A01566017/2014	swine	na	06/10/2014	KP081625	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|MH540383|A/swine/Minnesota/A01678566/2018|H1N1|USA|Swine|1A.3.3.3|06/05/2018	fludb	na	A/swine/Minnesota/A01678566/2018	swine	na	05/06/2018	MH540383	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MG266069|A/swine/Minnesota/A01785306/2017|H1N1|USA|Swine|1A.1.1|10/03/2017	fludb	na	A/swine/Minnesota/A01785306/2017	swine	na	03/10/2017	MG266069	H1N1	USA	1A.1.1	1A.1.1
fludb|MG662715|A/swine/Minnesota/A01785347/2017|H1N2|USA|Swine|1B.2.2.1|11/08/2017	fludb	na	A/swine/Minnesota/A01785347/2017	swine	na	08/11/2017	MG662715	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MH814937|A/swine/Minnesota/A01785598/2018|H1N1|USA|Swine|1A.3.3.2|08/01/2018	fludb	na	A/swine/Minnesota/A01785598/2018	swine	na	01/08/2018	MH814937	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|MK405265|A/swine/Minnesota/A01785811/2018|H1N2|USA|Swine|1B.2.2.1|12/27/2018	fludb	na	A/swine/Minnesota/A01785811/2018	swine	na	27/12/2018	MK405265	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|MK671354|A/swine/Minnesota/A01785993/2019|H1N2|USA|Swine|1B.2.2.1|02/25/2019	fludb	na	A/swine/Minnesota/A01785993/2019	swine	na	25/02/2019	MK671354	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KT699050|A/swine/Minnesota/A01823864/2015|H1N2|USA|Swine|1B.2.2.1|08/05/2015	fludb	na	A/swine/Minnesota/A01823864/2015	swine	na	05/08/2015	KT699050	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KT952009|A/swine/Minnesota/A01940683/2015|H1N2|USA|Swine|1B.2.2.1|10/01/2015	fludb	na	A/swine/Minnesota/A01940683/2015	swine	na	01/10/2015	KT952009	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KT952015|A/swine/Minnesota/A01940686/2015|H1N2|USA|Swine|1B.2.2.2|10/11/2015	fludb	na	A/swine/Minnesota/A01940686/2015	swine	na	11/10/2015	KT952015	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KU198908|A/swine/Minnesota/A01940992/2015|H1N2|USA|Swine|1B.2.2.2|11/02/2015	fludb	na	A/swine/Minnesota/A01940992/2015	swine	na	02/11/2015	KU198908	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KU362581|A/swine/Minnesota/A01941304/2015|H1N1|USA|Swine|1A.3.3.2|11/28/2015	fludb	na	A/swine/Minnesota/A01941304/2015	swine	na	28/11/2015	KU362581	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|KX356673|A/swine/Minnesota/A01943452/2016|H1N2|USA|Swine|1B.2.2.2|05/09/2016	fludb	na	A/swine/Minnesota/A01943452/2016	swine	na	09/05/2016	KX356673	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KT000076|A/swine/Minnesota/A02077496/2015|H1N1|USA|Swine|1A.3.3.3|05/04/2015	fludb	na	A/swine/Minnesota/A02077496/2015	swine	na	04/05/2015	KT000076	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MN207086|A/swine/Minnesota/A02245172/2019|H1N2|USA|Swine|1B.2.1|06/12/2019	fludb	na	A/swine/Minnesota/A02245172/2019	swine	na	12/06/2019	MN207086	H1N2	USA	1B.2.1	1B.2.1
fludb|MH937427|A/swine/Minnesota/A02256797/2018|H1N1|USA|Swine|1A.3.3.3|08/23/2018	fludb	na	A/swine/Minnesota/A02256797/2018	swine	na	23/08/2018	MH937427	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MK039815|A/swine/Minnesota/A02257389/2018|H1N1|USA|Swine|1A.3.3.3|09/07/2018	fludb	na	A/swine/Minnesota/A02257389/2018	swine	na	07/09/2018	MK039815	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|CY041903|A/swine/Minnesota/SG_00239/2007|H1N2|USA|Swine|1B.2.2|02/23/2007	fludb	na	A/swine/Minnesota/SG_00239/2007	swine	na	23/02/2007	CY041903	H1N2	USA	1B.2.2	1B.2.2
fludb|CY099199|A/swine/Minnesota/SG1144/2006|H1N1|USA|Swine|1A.2|05/19/2006	fludb	na	A/swine/Minnesota/SG1144/2006	swine	na	19/05/2006	CY099199	H1N1	USA	1A.2	1A.2
fludb|CY159557|A/swine/Minnesota/SG1177/2003|H1N1|USA|Swine|1A.2|09/10/2003	fludb	na	A/swine/Minnesota/SG1177/2003	swine	na	10/09/2003	CY159557	H1N1	USA	1A.2	1A.2
fludb|CY157767|A/swine/Minnesota/SG1212/2004|H1N1|USA|Swine|1A.2|04/29/2004	fludb	na	A/swine/Minnesota/SG1212/2004	swine	na	29/04/2004	CY157767	H1N1	USA	1A.2	1A.2
fludb|CY157847|A/swine/Minnesota/SG1235/2005|H1N1|USA|Swine|1A.3.3|03/08/2005	fludb	na	A/swine/Minnesota/SG1235/2005	swine	na	08/03/2005	CY157847	H1N1	USA	1A.3.3	1A.3.3
fludb|KR074369|A/swine/Missouri/00564/2005|H1N1|USA|Swine|1A.3.2|03/30/2005	fludb	na	A/swine/Missouri/00564/2005	swine	na	30/03/2005	KR074369	H1N1	USA	1A.3.2	1A.3.2
fludb|HM754219|A/swine/Missouri/03035/2010|H1N2|USA|Swine|1B.2.1|06/18/2010	fludb	na	A/swine/Missouri/03035/2010	swine	na	18/06/2010	HM754219	H1N2	USA	1B.2.1	1B.2.1
fludb|JN652404|A/swine/Missouri/A01049487/2011|H1N1|USA|Swine|1A.2|01/28/2011	fludb	na	A/swine/Missouri/A01049487/2011	swine	na	28/01/2011	JN652404	H1N1	USA	1A.2	1A.2
fludb|JQ809747|A/swine/Missouri/A01076190/2010|H1N1|USA|Swine|1A.2|02/07/2010	fludb	na	A/swine/Missouri/A01076190/2010	swine	na	07/02/2010	JQ809747	H1N1	USA	1A.2	1A.2
fludb|KY328163|A/swine/Missouri/A01668216/2016|H1N1|USA|Swine|1A.3.3.3|11/08/2016	fludb	na	A/swine/Missouri/A01668216/2016	swine	na	08/11/2016	KY328163	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KY859939|A/swine/Missouri/A01932424/2017|H1N1|USA|Swine|1A.3.2|02/22/2017	fludb	na	A/swine/Missouri/A01932424/2017	swine	na	22/02/2017	KY859939	H1N1	USA	1A.3.2	1A.3.2
fludb|MG763261|A/swine/Missouri/A02136826/2017|H1N2|USA|Swine|1B.2.2.1|11/21/2017	fludb	na	A/swine/Missouri/A02136826/2017	swine	na	21/11/2017	MG763261	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|CY158825|A/swine/Missouri/SG1182/2003|H1N1|USA|Swine|1A.1_like|10/09/2003	fludb	na	A/swine/Missouri/SG1182/2003	swine	na	09/10/2003	CY158825	H1N1	USA	1A.1_like	1A.1_like
fludb|CY159105|A/swine/Nebraska/00178/2003|H1N1|USA|Swine|1A.2|08/29/2003	fludb	na	A/swine/Nebraska/00178/2003	swine	na	29/08/2003	CY159105	H1N1	USA	1A.2	1A.2
fludb|JX422572|A/swine/Nebraska/A01241395/2012|H1N1|USA|Swine|1A.2|01/26/2012	fludb	na	A/swine/Nebraska/A01241395/2012	swine	na	26/01/2012	JX422572	H1N1	USA	1A.2	1A.2
fludb|KC951144|A/swine/Nebraska/A01244578/2013|H1N1|USA|Swine|1A.3.3.3|04/2013	fludb	na	A/swine/Nebraska/A01244578/2013	swine	na	2013-04-	KC951144	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KF791371|A/swine/Nebraska/A01290601/2013|H1N2|USA|Swine|1B.2.2.2|10/2013	fludb	na	A/swine/Nebraska/A01290601/2013	swine	na	2013-10-	KF791371	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|JX656985|A/swine/Nebraska/A01301488/2012|H1N1|USA|Swine|1A.2|08/24/2012	fludb	na	A/swine/Nebraska/A01301488/2012	swine	na	24/08/2012	JX656985	H1N1	USA	1A.2	1A.2
fludb|JX860653|A/swine/Nebraska/A01301855/2012|H1N1|USA|Swine|1A.2|09/04/2012	fludb	na	A/swine/Nebraska/A01301855/2012	swine	na	04/09/2012	JX860653	H1N1	USA	1A.2	1A.2
fludb|KY522891|A/swine/Nebraska/A01672049/2017|H1N2|USA|Swine|1B.2.2.1|01/05/2017	fludb	na	A/swine/Nebraska/A01672049/2017	swine	na	05/01/2017	KY522891	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KU558818|A/swine/Nebraska/A01728574/2015|H1N1|USA|Swine|1A.3.3.2|12/29/2015	fludb	na	A/swine/Nebraska/A01728574/2015	swine	na	29/12/2015	KU558818	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|KY465605|A/swine/Nebraska/A01785245/2016|H1N2|USA|Swine|1A.2|12/29/2016	fludb	na	A/swine/Nebraska/A01785245/2016	swine	na	29/12/2016	KY465605	H1N2	USA	1A.2	1A.2
fludb|MK297704|A/swine/Nebraska/A01785764/2018|H1N2|USA|Swine|1B.2.2.1|11/20/2018	fludb	na	A/swine/Nebraska/A01785764/2018	swine	na	20/11/2018	MK297704	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|KX150765|A/swine/Nebraska/A01894513/2016|H1N2|USA|Swine|1B.2.2.1|03/30/2016	fludb	na	A/swine/Nebraska/A01894513/2016	swine	na	30/03/2016	KX150765	H1N2	USA	1B.2.2.1	1B.2.2.1
fludb|CY157935|A/swine/North_Carolina/01169/2006|H1N2|USA|Swine|1A.3|06/22/2006	fludb	na	A/swine/North_Carolina/01169/2006	swine	na	22/06/2006	CY157935	H1N2	USA	1A.3	1A.3
fludb|CY158193|A/swine/North_Carolina/02249/2008|H1N2|USA|Swine|1B.2.1|07/30/2008	fludb	na	A/swine/North_Carolina/02249/2008	swine	na	30/07/2008	CY158193	H1N2	USA	1B.2.1	1B.2.1
fludb|KU518822|A/swine/North_Carolina/030454/2015|H1N1|USA|Swine|1A.3.3.3|03/17/2015	fludb	na	A/swine/North_Carolina/030454/2015	swine	na	17/03/2015	KU518822	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|CY098516|A/swine/North_Carolina/18161/2002|H1N1|USA|Swine|1A.3.3|2002	fludb	na	A/swine/North_Carolina/18161/2002	swine	na	2002--	CY098516	H1N1	USA	1A.3.3	1A.3.3
fludb|CY086888|A/swine/North_Carolina/226124/2010|H1N2|USA|Swine|1B.2.1|09/08/2010	fludb	na	A/swine/North_Carolina/226124/2010	swine	na	08/09/2010	CY086888	H1N2	USA	1B.2.1	1B.2.1
fludb|CY040596|A/swine/North_Carolina/26762/2003|H1|USA|Swine|1A.3.3.3|2003	fludb	na	A/swine/North_Carolina/26762/2003	swine	na	2003--	CY040596	H1	USA	1A.3.3.3	1A.3.3.3
fludb|JQ638657|A/swine/North_Carolina/376/2011|H1N2|USA|Swine|1B.2.1|02/02/2011	fludb	na	A/swine/North_Carolina/376/2011	swine	na	02/02/2011	JQ638657	H1N2	USA	1B.2.1	1B.2.1
fludb|CY040590|A/swine/North_Carolina/41621/2003|H1|USA|Swine|1A.2|2003	fludb	na	A/swine/North_Carolina/41621/2003	swine	na	2003--	CY040590	H1	USA	1A.2	1A.2
fludb|HQ424894|A/swine/North_Carolina/44837_4/2009|H1N2|USA|Swine|1B.2.1|12/21/2009	fludb	na	A/swine/North_Carolina/44837_4/2009	swine	na	21/12/2009	HQ424894	H1N2	USA	1B.2.1	1B.2.1
fludb|CY040567|A/swine/North_Carolina/901/2003|H1N1|USA|Swine|1A.3|2003	fludb	na	A/swine/North_Carolina/901/2003	swine	na	2003--	CY040567	H1N1	USA	1A.3	1A.3
fludb|JF812288|A/swine/North_Carolina/A01049085/2010|H1N2|USA|Swine|1B.2.1|11/16/2010	fludb	na	A/swine/North_Carolina/A01049085/2010	swine	na	16/11/2010	JF812288	H1N2	USA	1B.2.1	1B.2.1
fludb|JQ809748|A/swine/North_Carolina/A01076201/2010|H1N1|USA|Swine|1A.3.3.3|03/21/2010	fludb	na	A/swine/North_Carolina/A01076201/2010	swine	na	21/03/2010	JQ809748	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KF574780|A/swine/North_Carolina/A01290349/2013|H1N2|USA|Swine|1B.2.2.2|08/2013	fludb	na	A/swine/North_Carolina/A01290349/2013	swine	na	2013-08-	KF574780	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KJ154068|A/swine/North_Carolina/A01290948/2013|H1N2|USA|Swine|1B.2.2.2|12/2013	fludb	na	A/swine/North_Carolina/A01290948/2013	swine	na	2013-12-	KJ154068	H1N2	USA	1B.2.2.2	1B.2.2.2
fludb|KF715210|A/swine/North_Carolina/A01291186/2013|H1N1|USA|Swine|1A.3.3.3|10/2013	fludb	na	A/swine/North_Carolina/A01291186/2013	swine	na	2013-10-	KF715210	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KF113321|A/swine/North_Carolina/A01432692/2013|H1N2|USA|Swine|1B.2.1|05/2013	fludb	na	A/swine/North_Carolina/A01432692/2013	swine	na	2013-05-	KF113321	H1N2	USA	1B.2.1	1B.2.1
fludb|KM409536|A/swine/North_Carolina/A01476202/2014|H1N1|USA|Swine|1A.3.3.3|08/05/2014	fludb	na	A/swine/North_Carolina/A01476202/2014	swine	na	05/08/2014	KM409536	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KM821543|A/swine/North_Carolina/A01476270/2014|H1N2|USA|Swine|1B.2.1|08/22/2014	fludb	na	A/swine/North_Carolina/A01476270/2014	swine	na	22/08/2014	KM821543	H1N2	USA	1B.2.1	1B.2.1
fludb|KM821585|A/swine/North_Carolina/A01476318/2014|H1N2|USA|Swine|1B.2.1|08/27/2014	fludb	na	A/swine/North_Carolina/A01476318/2014	swine	na	27/08/2014	KM821585	H1N2	USA	1B.2.1	1B.2.1
fludb|KM821564|A/swine/North_Carolina/A01476339/2014|H1N2|USA|Swine|1B.2.1|09/03/2014	fludb	na	A/swine/North_Carolina/A01476339/2014	swine	na	03/09/2014	KM821564	H1N2	USA	1B.2.1	1B.2.1
fludb|KM821558|A/swine/North_Carolina/A01476345/2014|H1N1|USA|Swine|1A.3.3.3|09/03/2014	fludb	na	A/swine/North_Carolina/A01476345/2014	swine	na	03/09/2014	KM821558	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KP186046|A/swine/North_Carolina/A01477737/2014|H1N1|USA|Swine|1A.3.3.3|10/17/2014	fludb	na	A/swine/North_Carolina/A01477737/2014	swine	na	17/10/2014	KP186046	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KP701499|A/swine/North_Carolina/A01478552/2015|H1N1|USA|Swine|1A.3.3.3|01/07/2015	fludb	na	A/swine/North_Carolina/A01478552/2015	swine	na	07/01/2015	KP701499	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KY382392|A/swine/North_Carolina/A01668762/2016|H1N2|USA|Swine|1B.2.1|11/28/2016	fludb	na	A/swine/North_Carolina/A01668762/2016	swine	na	28/11/2016	KY382392	H1N2	USA	1B.2.1	1B.2.1
fludb|KT595730|A/swine/North_Carolina/A01769110/2015|H1N2|USA|Swine|1B.2.1|07/31/2015	fludb	na	A/swine/North_Carolina/A01769110/2015	swine	na	31/07/2015	KT595730	H1N2	USA	1B.2.1	1B.2.1
fludb|KY120246|A/swine/North_Carolina/A01782400/2016|H1N2|USA|Swine|1B.2.1|10/10/2016	fludb	na	A/swine/North_Carolina/A01782400/2016	swine	na	10/10/2016	KY120246	H1N2	USA	1B.2.1	1B.2.1
fludb|KU242638|A/swine/North_Carolina/A01795758/2015|H1N1|USA|Swine|1A.3.3.3|11/03/2015	fludb	na	A/swine/North_Carolina/A01795758/2015	swine	na	03/11/2015	KU242638	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KU379569|A/swine/North_Carolina/A01797476/2015|H1N2|USA|Swine|1B.2.1|11/16/2015	fludb	na	A/swine/North_Carolina/A01797476/2015	swine	na	16/11/2015	KU379569	H1N2	USA	1B.2.1	1B.2.1
fludb|KR057455|A/swine/North_Carolina/A01840922/2015|H1N1|USA|Swine|1A.3.3.3|03/02/2015	fludb	na	A/swine/North_Carolina/A01840922/2015	swine	na	02/03/2015	KR057455	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|KY859935|A/swine/North_Carolina/A01932401/2017|H1N2|USA|Swine|1B.2.1|03/02/2017	fludb	na	A/swine/North_Carolina/A01932401/2017	swine	na	02/03/2017	KY859935	H1N2	USA	1B.2.1	1B.2.1
fludb|KT429546|A/swine/North_Carolina/A02035721/2015|H1N1|USA|Swine|1A.3.3.2|07/14/2015	fludb	na	A/swine/North_Carolina/A02035721/2015	swine	na	14/07/2015	KT429546	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|KT259327|A/swine/North_Carolina/A02077953/2015|H1N1|USA|Swine|1A.3.3.2|06/15/2015	fludb	na	A/swine/North_Carolina/A02077953/2015	swine	na	15/06/2015	KT259327	H1N1	USA	1A.3.3.2	1A.3.3.2
fludb|MG917054|A/swine/North_Carolina/A02140663/2018|H1N1|USA|Swine|1A.3.3.3|01/11/2018	fludb	na	A/swine/North_Carolina/A02140663/2018	swine	na	11/01/2018	MG917054	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MH279981|A/swine/North_Carolina/A02157639/2018|H1N2|USA|Swine|1A.1.1|04/10/2018	fludb	na	A/swine/North_Carolina/A02157639/2018	swine	na	10/04/2018	MH279981	H1N2	USA	1A.1.1	1A.1.1
fludb|MG198961|A/swine/North_Carolina/A02221364/2017|H1N2|USA|Swine|1A.1.1|09/13/2017	fludb	na	A/swine/North_Carolina/A02221364/2017	swine	na	13/09/2017	MG198961	H1N2	USA	1A.1.1	1A.1.1
fludb|MN507706|A/swine/North_Carolina/A02245230/2019|H1N2|USA|Swine|1A.1.1|08/30/2019	fludb	na	A/swine/North_Carolina/A02245230/2019	swine	na	30/08/2019	MN507706	H1N2	USA	1A.1.1	1A.1.1
fludb|MK452394|A/swine/North_Carolina/A02428124/2018|H1N2|USA|Swine|1B.2.1|12/26/2018	fludb	na	A/swine/North_Carolina/A02428124/2018	swine	na	26/12/2018	MK452394	H1N2	USA	1B.2.1	1B.2.1
fludb|MK922335|A/swine/North_Carolina/A02432161/2019|H1N1|USA|Swine|1A.3.3.3|04/04/2019	fludb	na	A/swine/North_Carolina/A02432161/2019	swine	na	04/04/2019	MK922335	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|MN150162|A/swine/North_Carolina/A02478543/2019|H1N2|USA|Swine|1A.1.1|06/14/2019	fludb	na	A/swine/North_Carolina/A02478543/2019	swine	na	14/06/2019	MN150162	H1N2	USA	1A.1.1	1A.1.1
fludb|MN436826|A/swine/North_Carolina/A02478619/2019|H1N2|USA|Swine|1B.2.1|08/16/2019	fludb	na	A/swine/North_Carolina/A02478619/2019	swine	na	16/08/2019	MN436826	H1N2	USA	1B.2.1	1B.2.1
fludb|CY159507|A/swine/North_Carolina/SG1168/2003|H1N1|USA|Swine|1A.3.3.3|10/29/2003	fludb	na	A/swine/North_Carolina/SG1168/2003	swine	na	29/10/2003	CY159507	H1N1	USA	1A.3.3.3	1A.3.3.3
fludb|CY158913|A/swine/North_Carolina/SG1281/2007|H1N1|USA|Swine|1B.2.1|02/01/2007	fludb	na	A/swine/North_Carolina/SG1281/2007	swine	na	01/02/2007	CY158913	H1N1	USA	1B.2.1	1B.2.1
